Var1,foldSize,accuracy,sensitivity,specificity
KNN Classifier k-5,5,0.917771883289125,0,0.988571428571429
KNN Classifier k-7,5,0.925729442970822,0,0.997142857142857
Decision Tree,5,0.925729442970822,0,0.997142857142857
SVM,5,0.901856763925729,0.185185185185185,0.957142857142857
Linear SVM Model,5,0.928381962864722,0,1
KNN Classifier k-5,10,0.930851063829787,0.0769230769230769,0.994285714285714
KNN Classifier k-7,10,0.936170212765957,0.0769230769230769,1
Decision Tree,10,0.930851063829787,0,1
SVM,10,0.867021276595745,0,0.931428571428571
Linear SVM Model,10,0.930851063829787,0,1
