Var1,foldSize,accuracy,sensitivity,specificity
KNN Classifier k-5,5,0.920424403183024,0,0.991428571428571
KNN Classifier k-7,5,0.925729442970822,0,0.997142857142857
Decision Tree,5,0.931034482758621,0.037037037037037,1
Linear SVM Model,5,0.877984084880637,0.111111111111111,0.937142857142857
Linear SVM Model,5,0.928381962864722,0,1
KNN Classifier k-5,10,0.909574468085106,0,0.977142857142857
KNN Classifier k-7,10,0.920212765957447,0,0.988571428571429
Decision Tree,10,0.930851063829787,0,1
Linear SVM Model,10,0.909574468085106,0,0.977142857142857
Linear SVM Model,10,0.930851063829787,0,1
KNN Classifier k-5,5,0.742705570291777,0.837931034482759,0.425287356321839
KNN Classifier k-7,5,0.761273209549072,0.855172413793103,0.448275862068966
Decision Tree,5,0.748010610079576,0.851724137931035,0.402298850574713
Linear SVM Model,5,0.755968169761273,0.817241379310345,0.551724137931034
Linear SVM Model,5,0.785145888594164,0.896551724137931,0.413793103448276
KNN Classifier k-5,10,0.797872340425532,0.903448275862069,0.441860465116279
KNN Classifier k-7,10,0.808510638297872,0.903448275862069,0.488372093023256
Decision Tree,10,0.813829787234043,0.910344827586207,0.488372093023256
Linear SVM Model,10,0.75531914893617,0.806896551724138,0.581395348837209
Linear SVM Model,10,0.765957446808511,0.917241379310345,0.255813953488372
KNN Classifier k-5,5,0.915119363395225,0.982857142857143,0.037037037037037
KNN Classifier k-7,5,0.917771883289125,0.988571428571429,0
Decision Tree,5,0.925729442970822,0.997142857142857,0
Linear SVM Model,5,0.901856763925729,0.951428571428571,0.259259259259259
Linear SVM Model,5,0.928381962864722,1,0
KNN Classifier k-5,10,0.920212765957447,0.965714285714286,0.307692307692308
KNN Classifier k-7,10,0.914893617021277,0.982857142857143,0
Decision Tree,10,0.925531914893617,0.994285714285714,0
Linear SVM Model,10,0.920212765957447,0.971428571428571,0.230769230769231
Linear SVM Model,10,0.930851063829787,1,0
KNN Classifier k-5,5,0.710875331564987,0.851851851851852,0.355140186915888
KNN Classifier k-7,5,0.718832891246684,0.87037037037037,0.336448598130841
Decision Tree,5,0.710875331564987,0.877777777777778,0.289719626168224
Linear SVM Model,5,0.689655172413793,0.792592592592593,0.429906542056075
Linear SVM Model,5,0.755968169761273,0.9,0.392523364485981
KNN Classifier k-5,10,0.691489361702128,0.844444444444444,0.30188679245283
